Scenario,Year,Model,spGDD,pcp.Feb,pcp.Mar,pcp.Apr
SSP126,2023,BCC,397.889,111.971,64.5651,118.356
SSP126,2024,BCC,448.664,33.8046,100.893,109.09
SSP126,2025,BCC,413.091,45.7805,83.0227,146.933
SSP126,2026,BCC,398.146,178.979,63.2056,102.595
SSP126,2027,BCC,371.356,101.104,228.324,115.148
SSP126,2028,BCC,413.545,31.1626,181.36,128.615
SSP126,2029,BCC,357.563,54.0395,61.4708,78.7083
SSP126,2030,BCC,398.524,130.993,44.3902,63.3036
SSP126,2031,BCC,357.465,143.557,105.38,104.812
SSP126,2032,BCC,389.703,19.8015,85.2729,150.269
SSP126,2033,BCC,258.149,106.611,125.203,148.089
SSP126,2034,BCC,323.224,157.478,83.8492,128.877
SSP126,2035,BCC,406.09,94.0805,96.2381,93.8123
SSP126,2036,BCC,364.191,116,91.4932,88.0379
SSP126,2037,BCC,377.137,76.5997,165.404,143.354
SSP126,2038,BCC,410.901,149.482,106.339,77.5515
SSP126,2039,BCC,338.933,89.2864,73.469,84.6421
SSP126,2040,BCC,425.292,173.146,153.993,41.681
SSP126,2041,BCC,385.471,98.4377,113.789,95.9678
SSP126,2042,BCC,381.106,162.173,104.994,80.7374
SSP126,2043,BCC,463.366,110.341,93.3065,82.6656
SSP126,2050,BCC,362.775,77.3357,191.404,127.507
SSP126,2051,BCC,420.318,34.0707,169.101,95.2291
SSP126,2052,BCC,380.489,101.149,123.665,64.7267
SSP126,2053,BCC,350.147,191.85,132.13,53.7356
SSP126,2054,BCC,437.509,26.179,94.2574,95.054
SSP126,2055,BCC,397.62,108.602,71.3126,150.86
SSP126,2056,BCC,280.91,175.708,89.7284,188.599
SSP126,2057,BCC,357,38.9086,130.242,205.576
SSP126,2058,BCC,392.118,140.252,113.096,137.431
SSP126,2059,BCC,426.641,111.011,116.022,74.8464
SSP126,2060,BCC,376.33,87.5695,82.8787,125.244
SSP126,2061,BCC,397.371,48.4384,76.2497,40.237
SSP126,2062,BCC,387.025,41.0944,78.0116,151.884
SSP126,2063,BCC,422.491,163.173,119.91,105.023
SSP126,2064,BCC,401.053,194.869,111.023,170.22
SSP126,2065,BCC,438.16,73.4632,100.223,71.8095
SSP126,2066,BCC,342.513,134.788,97.4991,56.8657
SSP126,2067,BCC,474.022,103.67,72.2039,102.77
SSP126,2068,BCC,399.474,115.225,159.803,71.0096
SSP126,2069,BCC,440.888,54.786,84.1099,106.026
SSP126,2070,BCC,452.895,64.047,143.8,110.401
SSP126,2080,BCC,440.041,91.7264,38.9064,101.469
SSP126,2081,BCC,431.69,82.3167,97.56,97.433
SSP126,2082,BCC,456.619,35.379,128.167,48.878
SSP126,2083,BCC,430.027,226.329,110.456,156.249
SSP126,2084,BCC,325.017,69.9897,128.15,146.365
SSP126,2085,BCC,424.511,77.851,78.2066,44.2893
SSP126,2086,BCC,373.061,44.55,128.073,119.539
SSP126,2087,BCC,423.171,109.815,122.891,76.8978
SSP126,2088,BCC,421.012,158.64,79.4903,108.403
SSP126,2089,BCC,372.865,105.212,178.788,135.784
SSP126,2090,BCC,366.192,72.7251,112.088,95.0377
SSP126,2091,BCC,329.935,95.8185,137.736,122.742
SSP126,2092,BCC,345.864,91.521,101.264,206.34
SSP126,2093,BCC,390.311,72.8988,107.543,147.151
SSP126,2094,BCC,450.224,65.8065,76.7464,71.8882
SSP126,2095,BCC,410.911,167.466,98.7415,102.79
SSP126,2096,BCC,451.845,105.113,53.6744,145.407
SSP126,2097,BCC,422.8,35.9353,73.1819,205.589
SSP126,2098,BCC,425.539,106.208,31.9637,158.801
SSP126,2099,BCC,369.415,94.2487,69.5864,122.07
SSP126,2100,BCC,350.132,75.6176,106.649,113.977
SSP245,2023,BCC,440.185,85.4851,76.7567,82.8359
SSP245,2024,BCC,416.02,105.003,83.95,102.117
SSP245,2025,BCC,390.579,98.6818,120.152,107.962
SSP245,2026,BCC,306.857,142.381,183.743,152.494
SSP245,2027,BCC,405.34,95.1271,54.3969,154.422
SSP245,2028,BCC,386.243,88.2338,79.6854,62.6885
SSP245,2029,BCC,384.043,98.3862,92.4244,118.21
SSP245,2030,BCC,380.197,141.207,177.034,100.919
SSP245,2031,BCC,365.533,194.135,122.966,57.8819
SSP245,2032,BCC,453.551,77.8368,88.929,50.1932
SSP245,2033,BCC,482.024,83.6456,120.255,78.6745
SSP245,2034,BCC,421.218,76.7985,91.1106,89.8337
SSP245,2035,BCC,439.149,113.401,85.4798,65.8164
SSP245,2036,BCC,378.217,48.3443,90.4102,115.339
SSP245,2037,BCC,378.47,92.4667,229.266,130.168
SSP245,2038,BCC,358.826,43.622,123.708,130.378
SSP245,2039,BCC,374.404,103.799,123.804,48.2203
SSP245,2040,BCC,476.786,84.0175,74.8693,113.792
SSP245,2041,BCC,375.096,127.427,117.172,131.283
SSP245,2042,BCC,269.258,155.167,159.091,119.614
SSP245,2043,BCC,397.71,52.9427,120.1,45.6721
SSP245,2050,BCC,449.092,222.974,134.887,38.0602
SSP245,2051,BCC,400.728,166.145,109.166,151.443
SSP245,2052,BCC,378.562,49.2338,106.21,103.622
SSP245,2053,BCC,410.854,72.7688,97.4503,103.872
SSP245,2054,BCC,404.233,40.1628,148.399,96.9289
SSP245,2055,BCC,464.68,93.1035,135.437,54.806
SSP245,2056,BCC,446.137,83.933,119.823,76.6805
SSP245,2057,BCC,468.3,70.7557,153.499,100.911
SSP245,2058,BCC,410.377,92.7659,125.789,91.6602
SSP245,2059,BCC,468.646,89.0842,44.1086,59.1347
SSP245,2060,BCC,462.466,82.4075,41.9266,91.3668
SSP245,2061,BCC,409.155,80.3407,200.542,191.481
SSP245,2062,BCC,412.007,132.531,159.133,98.4435
SSP245,2063,BCC,417.389,41.9537,122.957,113.258
SSP245,2064,BCC,478.99,95.3285,100.393,97.6991
SSP245,2065,BCC,375.728,103.634,158.951,81.7689
SSP245,2066,BCC,435.023,71.1599,179.114,55.6886
SSP245,2067,BCC,411.301,98.4365,82.6548,72.3968
SSP245,2068,BCC,415.399,147.168,114.699,85.3287
SSP245,2069,BCC,446.856,107.702,33.7362,139.792
SSP245,2070,BCC,418.669,74.2076,60.137,82.9088
SSP245,2080,BCC,460.275,46.21,72.9235,73.979
SSP245,2081,BCC,379.417,96.4307,161.881,93.1494
SSP245,2082,BCC,429.893,97.7013,132.784,55.0284
SSP245,2083,BCC,340.061,92.7144,75.6885,156.274
SSP245,2084,BCC,444.786,138.065,90.0755,61.4921
SSP245,2085,BCC,403.97,66.8442,75.2151,86.2674
SSP245,2086,BCC,438.553,117.17,172.668,62.2942
SSP245,2087,BCC,350.165,198.229,121.303,71.0193
SSP245,2088,BCC,400.338,182.041,118.928,97.0221
SSP245,2089,BCC,388.69,71.396,118.399,105.078
SSP245,2090,BCC,442.171,157.419,73.7601,50.9224
SSP245,2091,BCC,439.731,87.2336,86.0756,99.864
SSP245,2092,BCC,389.082,124.293,208.661,91.485
SSP245,2093,BCC,507.783,93.3591,122.589,96.9716
SSP245,2094,BCC,371.914,47.8844,129.474,113.915
SSP245,2095,BCC,415.971,83.0883,119.643,51.2569
SSP245,2096,BCC,484.804,57.4835,54.459,113.004
SSP245,2097,BCC,432.922,102.426,118.272,137.378
SSP245,2098,BCC,498.14,89.3437,52.5212,106.254
SSP245,2099,BCC,451.789,32.1505,169.213,79.1352
SSP245,2100,BCC,398.974,192.912,114.576,50.2792
SSP370,2023,BCC,346.442,131.901,93.7092,52.2705
SSP370,2024,BCC,409.702,66.2019,60.3471,150.868
SSP370,2025,BCC,341.741,90.8537,100.354,108.821
SSP370,2026,BCC,401.63,67.4219,71.151,112.047
SSP370,2027,BCC,428.346,126.485,59.9553,90.9298
SSP370,2028,BCC,401.876,49.0657,67.4768,81.6196
SSP370,2029,BCC,387.702,101.467,120.696,92.0609
SSP370,2030,BCC,365.811,116.027,120.938,100.324
SSP370,2031,BCC,486.597,184.416,90.0503,41.5984
SSP370,2032,BCC,413.024,72.6482,120.888,85.7437
SSP370,2033,BCC,352.945,107.404,71.476,108.133
SSP370,2034,BCC,388.21,72.3668,81.5001,79.0149
SSP370,2035,BCC,438.862,134.348,139.167,45.0305
SSP370,2036,BCC,422.919,105.723,50.3387,116.304
SSP370,2037,BCC,392.71,71.4838,74.0204,36.0803
SSP370,2038,BCC,440.054,110.543,282.195,25.8867
SSP370,2039,BCC,406.8,122.29,134.161,127.633
SSP370,2040,BCC,378.429,87.6778,139.907,119.695
